x	y	z	Event	Energy	Time
2.5419594181e+00 -2.6861747273e-01 -1.1767808070e+05 1 1.1166949565e+03 1.0749117454e-01
1.8365967753e+00 -3.6079523710e-01 -1.5848762498e+05 1 1.2607567601e+03 9.1953527921e-02
1.7984844000e+00 -3.6670871547e-01 -1.6045516222e+05 1 1.6326289134e+03 9.1204416511e-02
1.6275309432e+00 -3.1653394068e-01 -1.7225728128e+05 1 1.2472297650e+04 8.6710930578e-02
1.1702711550e+00 -2.4509024016e-01 -2.0666386770e+05 1 1.7475170835e+03 7.3611126728e-02
8.9745015986e-01 -2.3110233756e-01 -2.2490342648e+05 1 2.3892435097e+03 6.6666683414e-02
8.4950613328e-01 -2.2249024410e-01 -2.2803459580e+05 1 1.0506366803e+03 6.5474536888e-02
8.2799610817e-01 -2.1856274146e-01 -2.2932541211e+05 1 9.9766862809e+02 6.4983077625e-02
7.1804795074e-01 -2.0672075775e-01 -2.3459768140e+05 1 5.8343480829e+03 6.2975739058e-02
2.6748380380e-01 -1.0415598656e-01 -2.5626038033e+05 1 5.5414855869e+03 5.4727988735e-02
2.2858558956e-01 -9.4798732501e-02 -2.5857604499e+05 1 1.4299830246e+03 5.3846333957e-02
0.0000000000e+00 0.0000000000e+00 -2.7527717120e+05 1 5.7546489335e+02 4.7487630345e-02
-1.7714995444e+03 2.2070718108e+03 -2.7478349352e+05 1 3.3339339218e+03 5.0937610349e-02
-2.2283523148e+04 9.6897139170e+03 -2.6870084075e+05 1 2.5614585006e+03 7.6939459971e-02
-3.3839780759e+04 6.7880000742e+03 -2.5980949776e+05 1 8.8532145461e+03 9.8480686507e-02
-3.3839780759e+04 6.7880000742e+03 -2.5980949776e+05 1 2.6893049031e+03 9.8480686507e-02
-2.2283523148e+04 9.6897139170e+03 -2.6870084075e+05 1 1.2128864170e+03 7.6939459971e-02
-1.7714995444e+03 2.2070718108e+03 -2.7478349352e+05 1 1.3237964184e+03 5.0937610349e-02
-7.8104495834e+00 6.1151007972e-02 2.7113193424e+05 1 1.7655991545e+03 2.5552529688e-01
-7.6640314123e+00 7.0431504302e-02 2.6818900955e+05 1 1.0749932735e+03 2.5440481585e-01
-5.9817740916e+00 -3.1913820689e-02 2.2917004665e+05 1 9.6528623052e+03 2.3954884950e-01
-3.5377636049e+00 6.3757516699e-01 1.4195181980e+05 1 1.1177275847e+03 2.0634166455e-01
-3.5167373826e+00 6.4394028866e-01 1.4120828529e+05 1 1.7966958806e+03 2.0605857364e-01
-3.2454623216e+00 6.0652445416e-01 1.2923691853e+05 1 1.0215050803e+03 2.0150063479e-01
-2.6805166975e+00 4.2659120315e-01 9.9387973751e+04 1 7.8371348354e+03 1.9013604797e-01
-2.4440588408e+00 3.1510076851e-01 8.8904079119e+04 1 2.9465031102e+03 1.8614444586e-01
-2.3415382226e+00 2.6608161881e-01 8.4671878490e+04 1 1.2247912171e+03 1.8453309241e-01
-1.0116911277e+00 2.2821295115e-01 2.9604106108e+04 1 1.4156095752e+03 1.6356678687e-01
-8.5702178884e-01 2.2435505372e-01 2.3798986079e+04 1 1.9639556959e+03 1.6135656673e-01
-8.2308591410e-01 2.2403224982e-01 2.2487380459e+04 1 3.4845545588e+03 1.6085719082e-01
-5.7931265046e-01 1.4270872198e-01 7.4987962176e+03 1 3.2903470547e+03 1.5515049327e-01
-5.0825143274e-01 1.1311912067e-01 1.5486545127e+03 1 6.4978816110e+03 1.5288505872e-01
-3.8167651789e-01 2.4504117419e-02 -7.1080750736e+03 1 1.4694501857e+03 1.4958912855e-01
-3.0788073372e-01 -7.2344761992e-03 -1.9077655907e+04 1 3.0271185642e+03 1.4503187650e-01
-2.7663606121e-01 -2.1791199002e-02 -2.4132867890e+04 1 2.0331780447e+03 1.4310717470e-01
-2.7215252563e-01 -2.2684346775e-02 -2.5297200275e+04 1 1.2109583744e+03 1.4266387132e-01
2.0514232024e-03 8.2547005444e-02 -7.5699748127e+04 1 1.3422747309e+03 1.2347380807e-01
5.9217077550e-02 6.8687066817e-02 -8.6698622555e+04 1 6.1743117078e+03 1.1928614158e-01
6.0208118881e-02 6.7744998459e-02 -8.7040008396e+04 1 2.3648908255e+03 1.1915616374e-01
9.8000449055e-02 4.1270400345e-02 -9.5389338491e+04 1 3.3941940905e+03 1.1597727448e-01
1.1616026496e-01 3.7641957828e-02 -1.0017187049e+05 1 2.1068314857e+03 1.1415639325e-01
1.0081205053e-01 3.0597166080e-02 -1.1145774106e+05 1 9.1430478184e+03 1.0985945864e-01
-6.7429103486e+03 -4.8139359199e+04 -1.0302758918e+05 1 9.5396528238e+03 1.6604845710e-01
-6.7429103486e+03 -4.8139359199e+04 -1.0302758918e+05 1 4.7518480448e+03 1.6604845710e-01
9.0162571857e-02 6.9198850524e-02 -1.1850255507e+05 1 1.3694133659e+03 1.0717724676e-01
8.8537833130e-02 7.3536753426e-02 -1.1959141742e+05 1 1.2794552088e+03 1.0676267805e-01
5.7063205788e-02 7.8045911504e-02 -1.3298833172e+05 1 7.9830953479e+03 1.0166199582e-01
-7.9636527293e+04 1.6542483589e+04 -7.2466594565e+04 1 1.2525751496e+04 1.8194536685e-01
-1.5769724831e+05 5.3531186145e+04 -2.1871864700e+04 1 6.5050801860e+03 2.7955053403e-01
-1.6444314805e+05 4.0022575639e+04 -4.5208285681e+04 1 9.3640806510e+03 3.1590154257e-01
-1.6444314805e+05 4.0022575639e+04 -4.5208285681e+04 1 1.6094343174e+03 3.1590154257e-01
-1.5769724831e+05 5.3531186145e+04 -2.1871864700e+04 1 2.8104118675e+03 2.7955053403e-01
8.1832832592e-02 7.3514729800e-02 -1.3931530405e+05 1 1.4423076927e+03 9.9253093235e-02
2.2773360851e-01 -5.7281414905e-02 -1.6791761913e+05 1 1.0462485021e+03 8.8363180475e-02
2.3252463363e-01 -3.0448764849e-01 -1.9670250887e+05 1 1.0300534120e+03 7.7403757165e-02
2.3367711246e-01 -3.1440342474e-01 -1.9782557544e+05 1 1.1839163265e+03 7.6976166126e-02
2.7422588501e-01 -4.4942944590e-01 -2.1659207950e+05 1 2.4012236566e+03 6.9831098026e-02
9.6335825577e-02 -4.3425555633e-02 -2.6708913937e+05 1 2.2837138788e+03 5.0605101150e-02
1.1092717833e-02 -8.7305792927e-03 -3.0187500125e+05 1 2.2376560735e+03 3.7360911443e-02
0.0000000000e+00 0.0000000000e+00 -3.0847959472e+05 1 1.4790064596e+03 3.4846312785e-02
-3.2558580206e+01 -1.2030365358e+01 3.1543343171e+05 1 2.2482393724e+03 2.7239259108e-01
